# EmployeeID,ManagerID,Title,BirthDate,ContactID,Title,FirstName,MiddleName,LastName
25,21,Production Supervisor - WC10,1973-11-26 0:00:00,1054,,Zheng,W,Mu
26,108,Production Technician - WC20,1972-02-04 0:00:00,1097,,Ivo,William,Salmre
27,87,Production Technician - WC40,1970-12-15 0:00:00,1156,,Paul,B,Komosinski
28,150,Network Administrator,1967-04-28 0:00:00,1258,,Ashvini,R,Sharma
29,14,Production Technician - WC50,1976-06-30 0:00:00,1199,,Kendall,C,Keil
30,140,Human Resources Manager,1966-03-14 0:00:00,1242,,Paula,M,Barreto de Mattos
31,210,Production Technician - WC40,1979-01-06 0:00:00,1140,,Alejandro,E,McGuel
32,184,Production Technician - WC30,1974-09-26 0:00:00,1122,,Garrett,R,Young
33,135,Production Technician - WC30,1973-08-27 0:00:00,1124,,Jian Shuo,,Wang
34,85,Stocker,1968-03-20 0:00:00,1285,,Susan,W,Eaton
35,85,Shipping and Receiving Clerk,1967-04-19 0:00:00,1283,,Vamsi,N,Kuppa
36,38,Production Technician - WC50,1968-02-27 0:00:00,1183,,Alice,O,Ciccu
37,7,Production Technician - WC60,1980-06-17 0:00:00,1226,,Simon,D,Rapier
38,21,Production Supervisor - WC50,1979-03-09 0:00:00,1065,,Jinghao,K,Liu
39,182,Production Technician - WC20,1974-12-19 0:00:00,1108,,Michael,T,Hines
40,159,Production Technician - WC45,1979-05-17 0:00:00,1167,,Yvonne,S,McKay
41,200,Quality Assurance Supervisor,1966-04-19 0:00:00,1269,,Peng,J,Wu
42,109,Information Services Manager,1966-01-13 0:00:00,1253,,Jean,E,Trenary
43,74,Production Technician - WC50,1962-12-27 0:00:00,1194,,Russell,,Hunter
44,148,Master Scheduler,1958-10-19 0:00:00,1232,,A. Scott,,Wright
45,210,Production Technician - WC40,1979-07-27 0:00:00,1135,,Fred,T,Northup
46,6,Marketing Specialist,1977-06-21 0:00:00,1033,,Sariya,E,Harnpadoungsataya
47,30,Recruiter,1968-08-18 0:00:00,1237,,Willis,T,Johnson
48,38,Production Technician - WC50,1969-08-06 0:00:00,1178,,Jun,T,Cao
49,218,Maintenance Supervisor,1966-02-18 0:00:00,1280,,Christian,E,Kleinerman
50,184,Production Technician - WC30,1973-05-03 0:00:00,1119,,Susan,A,Metters
51,21,Production Supervisor - WC40,1977-09-27 0:00:00,1060,,Reuben,H,D'sa
52,123,Production Technician - WC45,1975-03-10 0:00:00,1162,,Kirk,J,Koenigsbauer
53,18,Production Technician - WC60,1975-01-30 0:00:00,1221,,David,J,Ortiz
54,90,Control Specialist,1980-05-29 0:00:00,1264,,Tengiz,N,Kharatishvili
55,143,Production Technician - WC20,1964-11-16 0:00:00,1103,,Hanying,P,Feng
56,210,Production Technician - WC40,1976-01-26 0:00:00,1146,,Kevin,H,Liu
57,16,Production Technician - WC60,1967-01-27 0:00:00,1205,,Annik,O,Stahl
58,38,Production Technician - WC50,1968-03-28 0:00:00,1181,,Suroor,R,Fatima
59,139,Accounts Receivable Specialist,1966-04-07 0:00:00,1248,,Deborah,E,Poe
60,74,Production Technician - WC50,1976-10-09 0:00:00,1189,,Jim,H,Scardelis
61,173,Production Technician - WC30,1973-11-19 0:00:00,1130,,Carole,M,Poland
62,184,Production Technician - WC30,1967-05-18 0:00:00,1114,,George,Z,Li
63,87,Production Technician - WC40,1978-06-17 0:00:00,1157,,Gary,W,Yukish
64,21,Production Supervisor - WC10,1974-05-13 0:00:00,1055,,Cristian,K,Petculescu
65,143,Production Technician - WC20,1957-04-02 0:00:00,1098,,Raymond,K,Sam
66,42,Application Specialist,1975-03-03 0:00:00,1259,,Janaina,Barreiro Gambaro,Bueno
67,14,Production Technician - WC50,1969-09-16 0:00:00,1200,,Bob,N,Hohman
68,210,Production Technician - WC40,1970-11-05 0:00:00,1141,,Shammi,G,Mohamed
69,38,Production Technician - WC50,1977-08-17 0:00:00,1184,,Linda,K,Moschell
70,30,Benefits Specialist,1974-12-22 0:00:00,1239,,Mindy,C,Martin
71,140,Finance Manager,1974-11-12 0:00:00,1243,,Wendy,Beth,Kahn
72,85,Stocker,1974-06-01 0:00:00,1286,,Kim,T,Ralls
73,135,Production Technician - WC30,1965-12-06 0:00:00,1125,,Sandra,,Reátegui Alayo
74,21,Production Supervisor - WC50,1970-05-30 0:00:00,1066,,Kok-Ho,T,Loh
75,159,Production Technician - WC45,1975-12-26 0:00:00,1168,,Douglas,B,Hite
76,7,Production Technician - WC60,1974-08-26 0:00:00,1227,,James,D,Kramer
77,41,Quality Assurance Technician,1966-04-07 0:00:00,1270,,Sean,P,Alexander
78,182,Production Technician - WC20,1977-01-01 0:00:00,1109,,Nitin,S,Mirchandani
79,158,Research and Development Engineer,1976-07-06 0:00:00,1050,,Diane,L,Margheim
80,16,Production Technician - WC60,1967-08-11 0:00:00,1211,,Rebecca,A,Laszlo
81,210,Production Technician - WC40,1967-11-05 0:00:00,1136,,Rajesh,M,Patel
82,30,Recruiter,1974-09-02 0:00:00,1238,,Vidur,X,Luthra
83,38,Production Technician - WC50,1968-07-01 0:00:00,1179,,John,P,Evans
84,7,Production Technician - WC60,1978-12-21 0:00:00,1222,,Nancy,A,Anderson
85,21,Shipping and Receiving Supervisor,1962-10-11 0:00:00,1281,,Pilar,G,Ackerman
86,184,Production Technician - WC30,1971-09-04 0:00:00,1120,,David,A,Yalovsky
87,21,Production Supervisor - WC40,1973-08-02 0:00:00,1061,,David,P,Hamilton
88,123,Production Technician - WC45,1971-01-26 0:00:00,1163,,Laura,C,Steele
89,16,Production Technician - WC60,1976-06-20 0:00:00,1206,,Margie,W,Shoop
90,200,Document Control Manager,1966-03-02 0:00:00,1265,,Zainal,T,Arifin
91,210,Production Technician - WC40,1978-12-28 0:00:00,1137,,Lorraine,O,Nay
92,143,Production Technician - WC20,1979-03-19 0:00:00,1104,,Fadi,K,Fakhouri
93,51,Production Technician - WC40,1962-07-15 0:00:00,1147,,Ryan,L,Cornelsen
94,139,Accounts Receivable Specialist,1966-03-26 0:00:00,1249,,Candy,L,Spoon
95,74,Production Technician - WC50,1969-04-29 0:00:00,1190,,Nuan,,Yu
96,44,Scheduling Assistant,1971-12-08 0:00:00,1233,,William,S,Vong
97,173,Production Technician - WC30,1979-12-08 0:00:00,1131,,Bjorn,M,Rettig
98,197,Production Technician - WC45,1977-03-13 0:00:00,1174,,Scott,R,Gode
99,87,Production Technician - WC40,1981-02-04 0:00:00,1158,,Michael,L,Rothkugel
100,143,Production Technician - WC20,1964-10-24 0:00:00,1099,,Lane,M,Sacksteder
101,14,Production Technician - WC50,1967-03-07 0:00:00,1201,,Pete,C,Male
102,42,Application Specialist,1971-07-28 0:00:00,1260,,Dan,K,Bacon
103,140,Assistant to the Chief Financial Officer,1954-07-23 0:00:00,1244,,David,M,Barber
104,74,Production Technician - WC50,1963-02-25 0:00:00,1195,,Lolan,B,Song
105,210,Production Technician - WC40,1977-03-13 0:00:00,1142,,Paula,R,Nartker
106,6,Marketing Specialist,1952-10-14 0:00:00,1034,,Mary,E,Gibson
107,38,Production Technician - WC50,1968-06-07 0:00:00,1185,,Mindaugas,J,Krapauskas
108,21,Production Supervisor - WC20,1975-02-20 0:00:00,1228,,Eric,,Gubbels
109,,Chief Executive Officer,1959-03-02 0:00:00,1287,,Ken,J,Sánchez
110,135,Production Technician - WC30,1979-01-08 0:00:00,1126,,Jason,M,Watters
111,41,Quality Assurance Technician,1976-05-31 0:00:00,1271,,Mark,L,Harrington
112,159,Production Technician - WC45,1962-08-25 0:00:00,1169,,Janeth,M,Esteves
113,184,Production Technician - WC30,1976-11-24 0:00:00,1110,,Marc,J,Ingle
114,158,Research and Development Engineer,1969-02-21 0:00:00,1051,,Gigi,N,Matthew
115,108,Production Technician - WC20,1980-12-05 0:00:00,1094,,Paul,R,Singh
116,210,Production Technician - WC40,1977-10-07 0:00:00,1144,,Frank,T,Lee
117,42,Database Administrator,1965-06-17 0:00:00,1255,,François,P,Ajenstat
118,14,Production Technician - WC50,1979-09-10 0:00:00,1196,,Diane,H,Tibbott
119,6,Marketing Specialist,1969-07-19 0:00:00,1035,Ms.,Jill,A,Williams
120,38,Production Technician - WC50,1981-07-01 0:00:00,1180,,Angela,W,Barbariol
121,85,Shipping and Receiving Clerk,1963-12-13 0:00:00,1282,,Matthias,T,Berndt
122,7,Production Technician - WC60,1963-09-28 0:00:00,1223,,Bryan,,Baker
123,21,Production Supervisor - WC45,1967-02-16 0:00:00,1062,,Jeff,V,Hay
124,184,Production Technician - WC30,1977-08-15 0:00:00,1121,,Eugene,R,Zabokritski
125,182,Production Technician - WC20,1969-08-02 0:00:00,1105,,Barbara,S,Decker
126,123,Production Technician - WC45,1979-01-17 0:00:00,1164,,Chris,T,Preston
127,90,Document Control Assistant,1977-04-12 0:00:00,1266,,Sean,N,Chai
128,42,Database Administrator,1966-02-06 0:00:00,1254,,Dan,B,Wilson
129,16,Production Technician - WC60,1969-10-26 0:00:00,1207,,Mark,K,McArthur
130,139,Accounts Receivable Specialist,1974-10-22 0:00:00,1250,,Bryan,A,Walton
131,74,Production Technician - WC50,1961-09-30 0:00:00,1191,,Houman,N,Pournasseh
132,44,Scheduling Assistant,1978-01-22 0:00:00,1234,,Sairaj,L,Uddin
133,173,Production Technician - WC30,1972-07-28 0:00:00,1132,,Michiko,F,Osada
134,184,Production Technician - WC30,1976-02-06 0:00:00,1116,,Benjamin,R,Martin
135,21,Production Supervisor - WC30,1971-09-19 0:00:00,1057,,Cynthia,S,Randall
136,197,Production Technician - WC45,1980-12-02 0:00:00,1175,,Kathie,E,Flood
137,16,Production Technician - WC60,1979-10-30 0:00:00,1202,,Britta,L,Simon
138,210,Production Technician - WC40,1967-03-14 0:00:00,1143,,Brian,T,Lloyd
139,140,Accounts Manager,1973-08-08 0:00:00,1245,,David,J,Liu
140,109,Chief Financial Officer,1966-02-06 0:00:00,1288,,Laura,F,Norman
141,38,Production Technician - WC50,1964-06-03 0:00:00,1186,,Michael,W,Patten
142,135,Production Technician - WC30,1973-11-20 0:00:00,1127,,Andy,M,Ruth
143,21,Production Supervisor - WC20,1967-05-08 0:00:00,1229,,Yuhong,L,Li
144,159,Production Technician - WC45,1975-04-01 0:00:00,1170,,Robert,J,Rounthwaite
145,41,Quality Assurance Technician,1979-04-29 0:00:00,1272,,Andreas,T,Berglund
146,184,Production Technician - WC30,1979-02-09 0:00:00,1111,,Reed,T,Koch
147,143,Production Technician - WC20,1967-11-06 0:00:00,1100,,Linda,A,Randall
148,109,Vice President of Production,1973-02-07 0:00:00,1052,,James,R,Hamilton
149,42,Application Specialist,1978-04-14 0:00:00,1261,,Ramesh,V,Meyyappan
150,42,Network Manager,1974-04-26 0:00:00,1256,,Stephanie,A,Conroy
151,108,Production Technician - WC20,1977-12-23 0:00:00,1095,,Samantha,H,Smith
152,210,Production Technician - WC40,1979-12-12 0:00:00,1138,,Tawana,G,Nusbaum
153,14,Production Technician - WC50,1978-08-07 0:00:00,1197,,Denise,H,Smith
154,30,Human Resources Administrative Assistant,1967-05-19 0:00:00,1240,,Hao,O,Chen
155,123,Production Technician - WC45,1980-05-14 0:00:00,1165,,Alex,M,Nayberg
156,7,Production Technician - WC60,1966-03-13 0:00:00,1224,,Eugene,O,Kogan
157,16,Production Technician - WC60,1967-02-11 0:00:00,1210,,Brandon,G,Heidepriem
158,3,Research and Development Manager,1977-03-27 0:00:00,1049,,Dylan,A,Miller
159,21,Production Supervisor - WC45,1980-06-24 0:00:00,1063,,Shane,S,Kim
160,182,Production Technician - WC20,1976-05-06 0:00:00,1106,,John,Y,Chen
161,90,Document Control Assistant,1966-01-25 0:00:00,1267,,Karen,R,Berge
162,16,Production Technician - WC60,1974-09-01 0:00:00,1208,,Jose,R,Lugo
163,74,Production Technician - WC50,1976-04-21 0:00:00,1188,,Mandar,H,Samant
164,274,Buyer,1974-09-18 0:00:00,1047,,Mikael,Q,Sandberg
165,74,Production Technician - WC50,1968-07-27 0:00:00,1192,,Sameer,A,Tejani
166,139,Accounts Payable Specialist,1967-03-18 0:00:00,1251,,Dragan,K,Tomic
167,173,Production Technician - WC30,1978-11-18 0:00:00,1133,,Carol,M,Philips
168,87,Production Technician - WC40,1963-09-05 0:00:00,1159,,Rob,T,Caron
169,38,Production Technician - WC50,1961-07-14 0:00:00,1176,,Don,L,Hall
170,44,Scheduling Assistant,1974-04-30 0:00:00,1235,,Alan,J,Brewer
171,184,Production Technician - WC30,1975-10-25 0:00:00,1117,,David,Oliver,Lawrence
172,87,Production Technician - WC40,1980-11-07 0:00:00,1160,,Baris,F,Cetinok
173,21,Production Supervisor - WC30,1979-03-02 0:00:00,1058,,Michael,Sean,Ray
174,18,Production Technician - WC60,1981-05-07 0:00:00,1219,,Steve,F,Masters
175,16,Production Technician - WC60,1977-07-11 0:00:00,1203,,Suchitra,O,Mohan
176,42,Application Specialist,1968-06-19 0:00:00,1262,,Karen,A,Berg
177,143,Production Technician - WC20,1975-01-09 0:00:00,1101,,Terrence,W,Earls
178,139,Accountant,1966-02-04 0:00:00,1246,,Barbara,C,Moreland
179,38,Production Technician - WC50,1980-09-04 0:00:00,1187,,Chad,W,Niswonger
180,135,Production Technician - WC30,1967-10-15 0:00:00,1128,,Rostislav,E,Shabalin
181,197,Production Technician - WC45,1959-10-19 0:00:00,1171,,Belinda,M,Newman
182,21,Production Supervisor - WC20,1974-12-20 0:00:00,1230,,Katie,L,McAskill-White
183,184,Production Technician - WC30,1972-03-14 0:00:00,1112,,Russell,M,King
184,21,Production Supervisor - WC30,1973-07-23 0:00:00,1056,,Jack,S,Richins
185,21,Production Supervisor - WC10,1978-10-08 0:00:00,1053,,Andrew,R,Hill
186,87,Production Technician - WC40,1976-05-10 0:00:00,1155,,Nicole,B,Holliday
187,14,Production Technician - WC50,1961-08-24 0:00:00,1198,,Frank,T,Miller
188,150,Network Administrator,1970-06-29 0:00:00,1257,,Peter,I,Connelly
189,108,Production Technician - WC20,1964-10-06 0:00:00,1096,,Anibal,T,Sousa
190,210,Production Technician - WC40,1971-06-29 0:00:00,1139,,Ken,L,Myer
191,30,Human Resources Administrative Assistant,1966-05-18 0:00:00,1241,,Grant,N,Culbertson
192,38,Production Technician - WC50,1979-07-17 0:00:00,1182,,Michael,T,Entin
193,159,Production Technician - WC45,1978-04-15 0:00:00,1166,,Lionel,C,Penuchot
194,7,Production Technician - WC60,1976-02-11 0:00:00,1225,,Thomas,R,Michaels
195,85,Stocker,1975-06-05 0:00:00,1284,,Jimmy,T,Bischoff
196,135,Production Technician - WC30,1972-10-19 0:00:00,1123,,Michael,T,Vanderhyde
197,21,Production Supervisor - WC45,1970-08-19 0:00:00,1064,,Lori,A,Kane
198,274,Buyer,1964-09-21 0:00:00,1048,,Arvind,B,Rao
199,182,Production Technician - WC20,1966-01-21 0:00:00,1107,,Stefen,A,Hesse
200,148,Quality Assurance Manager,1967-11-27 0:00:00,1268,,Hazem,E,Abolrous
201,139,Accounts Payable Specialist,1969-04-09 0:00:00,1252,,Janet,L,Sheperdigian
202,74,Production Technician - WC50,1980-02-26 0:00:00,1193,,Elizabeth,I,Keyser
203,6,Marketing Specialist,1976-03-07 0:00:00,1032,,Terry,J,Eminhizer
204,184,Production Technician - WC30,1972-04-24 0:00:00,1115,,John,N,Frum
205,173,Production Technician - WC30,1973-06-13 0:00:00,1134,,Merav,A,Netz
206,44,Scheduling Assistant,1974-09-12 0:00:00,1236,,Brian,P,LaMee
207,38,Production Technician - WC50,1977-07-07 0:00:00,1177,,Kitti,H,Lertpiriyasuwat
208,18,Production Technician - WC60,1966-03-14 0:00:00,1220,,Jay,G,Adams
209,184,Production Technician - WC30,1964-12-16 0:00:00,1118,,Jan,S,Miksovsky
210,21,Production Supervisor - WC40,1973-03-31 0:00:00,1059,,Brenda,M,Diaz
211,123,Production Technician - WC45,1978-10-26 0:00:00,1161,,Andrew,M,Cencini
212,90,Control Specialist,1977-06-26 0:00:00,1263,,Chris,K,Norred
213,16,Production Technician - WC60,1976-09-07 0:00:00,1204,,Chris,O,Okelberry
214,143,Production Technician - WC20,1977-01-08 0:00:00,1102,,Shelley,N,Dyck
215,210,Production Technician - WC40,1978-06-11 0:00:00,1145,,Gabe,B,Mares
216,139,Accountant,1969-08-01 0:00:00,1247,,Mike,K,Seamans
217,158,Research and Development Manager,1975-01-01 0:00:00,1289,,Michael,,Raheem
218,148,Facilities Manager,1961-03-21 0:00:00,1274,,Gary,E.,Altman
219,18,Production Technician - WC60,1961-10-03 0:00:00,1215,,Charles,B,Fitzgerald
220,25,Production Technician - WC10,1976-10-23 0:00:00,1081,,Ebru,N,Ersan
221,108,Production Technician - WC20,1960-12-13 0:00:00,1092,,Sylvester,A,Valdez
222,51,Production Technician - WC40,1961-01-23 0:00:00,1151,,Brian,Richard,Goldstein
223,274,Buyer,1960-12-31 0:00:00,1044,,Linda,P,Meisner
224,64,Production Technician - WC10,1957-01-17 0:00:00,1087,,Betsy,A,Stadick
225,218,Facilities Administrative Assistant,1961-09-27 0:00:00,1275,,Magnus,E,Hedlund
226,18,Production Technician - WC60,1960-04-07 0:00:00,1216,,Karan,R,Khanna
227,25,Production Technician - WC10,1976-10-20 0:00:00,1082,,Mary,R,Baker
228,25,Production Technician - WC10,1976-10-20 0:00:00,1078,,Kevin,M,Homer
229,51,Production Technician - WC40,1961-04-09 0:00:00,1152,,Mihail,U,Frintu
230,185,Production Technician - WC10,1976-10-11 0:00:00,1077,,Bonnie,N,Kearney
231,274,Buyer,1960-12-25 0:00:00,1045,,Fukiko,J,Ogisu
232,108,Production Technician - WC20,1961-11-23 0:00:00,1088,Mr.,Hung-Fu,T,Ting
233,274,Buyer,1956-12-30 0:00:00,1040,,Gordon,L,Hee
234,64,Production Technician - WC10,1976-10-14 0:00:00,1083,,Kimberly,B,Zimmerman
235,16,Production Technician - WC60,1957-01-14 0:00:00,1212,,Kim,B,Abercrombie
236,51,Production Technician - WC40,1961-01-03 0:00:00,1153,,Sandeep,P,Kaliyath
237,108,Production Technician - WC20,1943-06-01 0:00:00,1093,,Prasanna,E,Samarawickrama
238,274,Buyer,1942-06-13 0:00:00,1046,,Frank,S,Pellow
239,108,Production Technician - WC20,1964-10-11 0:00:00,1089,,Min,G,Su
240,51,Production Technician - WC40,1957-01-08 0:00:00,1148,,Eric,L,Brown
241,274,Buyer,1962-10-19 0:00:00,1042,,Eric,S,Kurjan
242,49,Janitor,1961-01-03 0:00:00,1277,,Pat,H,Coleman
243,18,Production Technician - WC60,1945-03-02 0:00:00,1218,,Maciej,W,Dusza
244,274,Buyer,1961-02-04 0:00:00,1041,,Erin,M,Hagens
245,64,Production Technician - WC10,1976-10-11 0:00:00,1084,,Patrick,C,Wedge
246,51,Production Technician - WC40,1942-04-03 0:00:00,1154,,Frank,R,Martinez
247,16,Production Technician - WC60,1961-10-12 0:00:00,1213,,Ed,R,Dudenhoefer
248,25,Production Technician - WC10,1976-11-01 0:00:00,1079,,Christopher,E,Hill
249,51,Production Technician - WC40,1964-01-24 0:00:00,1149,,Patrick,M,Cook
250,108,Production Technician - WC20,1961-10-06 0:00:00,1090,,Krishna,,Sunkammurali
251,49,Janitor,1960-08-31 0:00:00,1278,,Lori,K,Penor
252,64,Production Technician - WC10,1976-10-08 0:00:00,1085,,Danielle,C,Tiedt
253,41,Quality Assurance Technician,1957-01-05 0:00:00,1273,,Sootha,T,Charncherngkha
254,18,Production Technician - WC60,1963-10-07 0:00:00,1214,,Michael,J,Zwilling
255,18,Production Technician - WC60,1960-05-29 0:00:00,1217,,Randy,T,Reeves
256,25,Production Technician - WC10,1976-10-29 0:00:00,1080,,John,T,Kane
257,51,Production Technician - WC40,1963-09-30 0:00:00,1150,,Jack,T,Creasey
258,108,Production Technician - WC20,1960-05-05 0:00:00,1091,,Olinda,C,Turner
259,49,Janitor,1962-01-17 0:00:00,1276,,Stuart,J,Macrae
260,49,Janitor,1944-05-25 0:00:00,1279,,Jo,L,Berry
261,274,Buyer,1963-07-05 0:00:00,1043,,Ben,T,Miller
262,64,Production Technician - WC10,1976-11-01 0:00:00,1086,,Tom,M,Vande Velde
263,3,Senior Tool Designer,1968-02-18 0:00:00,1007,,Ovidiu,V,Cracium
264,274,Purchasing Assistant,1968-03-01 0:00:00,1038,,Annette,L,Hill
265,263,Tool Designer,1979-06-29 0:00:00,1008,Ms.,Janice,M,Galvin
266,274,Purchasing Assistant,1968-02-18 0:00:00,1039,,Reinout,N,Hillmann
267,3,Senior Design Engineer,1969-07-17 0:00:00,1003,,Michael,I,Sullivan
268,273,North American Sales Manager,1941-11-17 0:00:00,1011,,Stephen,Y,Jiang
269,6,Marketing Assistant,1965-04-17 0:00:00,1029,,Wanida,M,Benshoof
270,3,Design Engineer,1951-06-03 0:00:00,1004,,Sharon,B,Salavaria
271,6,Marketing Specialist,1968-04-06 0:00:00,1036,,John,L,Wood
272,6,Marketing Assistant,1968-03-01 0:00:00,1031,,Mary,A,Dempsey
273,109,Vice President of Sales,1967-07-08 0:00:00,1010,Mr.,Brian,S,Welcker
274,71,Purchasing Manager,1968-03-13 0:00:00,1037,,Sheela,H,Word
275,268,Sales Representative,1959-01-26 0:00:00,1026,,Michael,G,Blythe
276,268,Sales Representative,1970-03-30 0:00:00,1018,,Linda,C,Mitchell
277,268,Sales Representative,1952-09-29 0:00:00,1016,,Jillian,,Carson
278,268,Sales Representative,1965-03-07 0:00:00,1021,,Garrett,R,Vargas
279,268,Sales Representative,1964-02-19 0:00:00,1019,,Tsvi,Michael,Reiter
280,268,Sales Representative,1965-01-06 0:00:00,1014,,Pamela,O,Ansman-Wolfe
281,268,Sales Representative,1958-04-10 0:00:00,1017,,Shu,K,Ito
282,268,Sales Representative,1954-01-11 0:00:00,1020,,José,Edvaldo,Saraiva
283,268,Sales Representative,1964-03-14 0:00:00,1015,,David,R,Campbell
284,273,European Sales Manager,1947-10-22 0:00:00,1013,,Amy,E,Alberts
285,284,Sales Representative,1958-04-18 0:00:00,1025,,Jae,B,Pak
286,284,Sales Representative,1965-10-31 0:00:00,1022,,Ranjit,R,Varkey Chudukatil
287,268,Sales Representative,1968-02-06 0:00:00,1027,Mr.,Tete,A,Mensa-Annan
288,273,Pacific Sales Manager,1965-02-11 0:00:00,1012,Mr.,Syed,E,Abbas
289,284,Sales Representative,1965-08-09 0:00:00,1023,,Rachel,B,Valdez
290,288,Sales Representative,1961-04-18 0:00:00,1024,,Lynn,N,Tsoflias
